seed,proposed,no_cetsp,coverage,roundrobin,single_station
0,2481.867493991592,2569.1707303860962,3328.725725420883,3374.8616902956796,2831.4679874425474
1,2524.721057080058,2642.403551982263,3322.5666691319148,3530.045089523354,2817.9293334419967
2,2544.508936584892,2658.3082194097447,3400.089164132296,3685.735851205902,2958.528822849206
3,2357.468867357801,2482.982510536622,2635.758841564684,3361.197376135945,2547.893561573674
4,2778.383513204741,2864.2399534444958,3558.5255587900806,3763.3150550590476,3220.9559618239487
5,2602.608104159616,2577.6473824549407,3142.4325143944,3375.4759865440533,3115.1878435942695
6,2503.056914267789,2549.1889743714823,2937.099163484446,3390.220235873289,2796.4041584721767
7,2397.9931038908135,2508.1276926493465,3334.09383985996,3342.4773919295185,2804.339146464106
8,2388.3408283328326,2491.3225082658773,2928.495000811786,3537.1753920958427,2621.1347248941015
9,2430.3716533456673,2497.5000938742533,3063.9763835677454,3566.5921863463996,2842.6537508603665
10,2464.6735318485194,2571.6542600019957,3165.1246922919368,3295.935726016808,2713.1410712712836
11,2566.632241161741,2655.434491673508,2876.8281719640504,3088.4549779117287,2850.004959180384
12,2646.254370540856,2706.615260752014,3385.3321155805206,4132.832650052235,3202.7538521968177
13,2704.2156625475263,2614.973002904893,3483.537594490304,3421.6860166592755,2918.531084698805
14,2446.4612332915367,2595.000375344487,2500.7948589097814,3182.7157943203683,2813.3995802602603
15,2372.888088920571,2459.866480555958,2400.0874948212486,3072.660772579787,2636.6301283605662
16,2384.4368765319914,2471.121628349066,3021.6474760119845,3206.1989795253135,2623.5402983775634
17,2475.2484411491178,2583.3162501907445,3167.526234119191,3783.0303389512724,2854.8027780626658
18,2232.082024443922,2304.885110375579,2282.9500677157885,2982.757808116285,2492.7635629900956
19,2405.9995155041174,2507.539239185234,2973.114289563223,3305.0930270063054,2532.670839206987
