seed,aoi_cov_s,aoi_traf_s,gain_pct,sites_differ,ports_differ
0,1718.0794634576118,1460.5125399136484,14.991560578089528,1,1
1,1874.1663925619564,1498.0548811756667,20.068202742241642,1,1
2,1754.5829638477328,1465.9317264247818,16.45127322961976,1,0
3,1546.905038513177,1420.2122089332283,8.190084486486692,1,1
4,1871.3741035219778,1548.1444839456299,17.27231444359633,1,1
5,1915.0032967848942,1497.1091991821406,21.822108520876046,1,0
6,1904.5123553103454,1472.5984279693023,22.67845236796385,1,0
7,2059.7357365310577,1484.4639627365766,27.929397135349788,1,0
8,1876.4061725108013,1457.2107380465497,22.340335509732952,1,0
9,1661.4073883815495,1467.6964289561274,11.659449740025803,1,0
10,1724.6184399391293,1490.6591650727867,13.56585720344033,1,0
11,1597.4532376301538,1493.9941715809753,6.476500445337708,1,1
12,1779.7473887561796,1549.067327087637,12.961393460998922,1,0
13,1887.2716562844917,1497.8121755549855,20.636111363863886,1,1
14,1520.6188270958487,1491.8251019816807,1.8935531114763062,1,1
15,1496.229308215837,1435.8315555858646,4.036664186320007,1,1
16,1783.6945244394287,1423.461434875521,20.1958959131256,1,1
17,1601.041892492058,1504.590684381446,6.024277600911712,1,0
18,1520.568242076249,1382.1350901733929,9.10404071795117,0,0
19,1930.1814115917286,1466.4172261257781,24.026973976684722,1,1
